Outcome,Model,Evaluation_weighting,Missingness_stratum,N,Positive_N,Negative_N,AUROC,AUPRC,Recall,Precision,F1,Specificity,Brier,Observed_prevalence,Mean_predicted_probability,Predicted_positive_rate,Interpretation
MEDNG,LR,Unweighted,No cleaned-feature missing,6042,402,5640,0.7964217035390424,0.3002201648072367,0.43781094527363185,0.27936507936507937,0.34108527131782945,0.9195035460992907,0.05413172737125122,0.06653426017874876,0.0666295769846743,0.10427010923535253,Evaluation stratum only; preprocessing and model were not refit.
MEDNG,LR,WTFA_A,No cleaned-feature missing,6042,402,5640,0.8034312448650127,0.32613944547486956,0.5027180774983341,0.2838776941733974,0.3628558754039869,0.9050516203803927,0.05511142390949177,0.06965482899055185,0.0731949792702378,0.12335150819287906,Evaluation stratum only; preprocessing and model were not refit.
MEDNG,LR,Unweighted,>=1 cleaned-feature missing,375,36,339,0.743198951163553,0.34477773260540695,0.4722222222222222,0.25757575757575757,0.3333333333333333,0.855457227138643,0.07713533709442641,0.096,0.09004073418732932,0.176,Evaluation stratum only; preprocessing and model were not refit.
MEDNG,LR,WTFA_A,>=1 cleaned-feature missing,375,36,339,0.681875639179515,0.23901500954034294,0.4062092069945112,0.18400985018547736,0.2532839101473725,0.8269627837162962,0.0769603018605243,0.08764180068639914,0.09044716191225548,0.19347282941923144,Evaluation stratum only; preprocessing and model were not refit.
MEDNG,RF,Unweighted,No cleaned-feature missing,6042,402,5640,0.8085154899262552,0.3030396587017154,0.5348258706467661,0.22119341563786007,0.31295487627365354,0.8657801418439717,0.05507149751627538,0.06653426017874876,0.06602264629511875,0.1608738828202582,Evaluation stratum only; preprocessing and model were not refit.
MEDNG,RF,WTFA_A,No cleaned-feature missing,6042,402,5640,0.8110685899755286,0.33484516320752006,0.5788453850879799,0.21758241165017728,0.3162787019133283,0.8441579988629699,0.05656990014062236,0.06965482899055185,0.07126751330380254,0.18530622950855835,Evaluation stratum only; preprocessing and model were not refit.
MEDNG,RF,Unweighted,>=1 cleaned-feature missing,375,36,339,0.7916256964929532,0.37257634025684394,0.6111111111111112,0.25287356321839083,0.3577235772357724,0.8082595870206489,0.07799830382733483,0.096,0.09363403200366441,0.232,Evaluation stratum only; preprocessing and model were not refit.
MEDNG,RF,WTFA_A,>=1 cleaned-feature missing,375,36,339,0.758212219945058,0.2882067786179998,0.637789361942328,0.22225098573985078,0.3296341032559445,0.7856028750462964,0.07451267746313332,0.08764180068639914,0.09663693013643154,0.2515039830000293,Evaluation stratum only; preprocessing and model were not refit.
MEDNG,XGBoost,Unweighted,No cleaned-feature missing,6042,402,5640,0.8097886013196427,0.304530283460275,0.40049751243781095,0.3181818181818182,0.354625550660793,0.9388297872340425,0.053880117701870664,0.06653426017874876,0.06664984806938878,0.0837471036080768,Evaluation stratum only; preprocessing and model were not refit.
MEDNG,XGBoost,WTFA_A,No cleaned-feature missing,6042,402,5640,0.8140454177455352,0.3245736125528408,0.44496757697206457,0.3199226161490023,0.3722238632594246,0.9291811484995482,0.05532223865037447,0.06965482899055185,0.07191247344781172,0.09688011699020992,Evaluation stratum only; preprocessing and model were not refit.
